degree,lambda,mse
19,4.281332398719396e-09,0.49631268915453386
15,8.858667904100832e-09,0.30416438735948087
0,8.858667904100832e-09,0.45049328355199997
3,2.06913808111479e-09,0.3262176574351731
17,3.792690190732254e-08,0.4167857826236838
10,7.847599703514607e-08,0.30356552794271263
6,3.792690190732254e-08,0.3165448375175953
1,8.858667904100832e-09,0.3525141601742287
16,2.06913808111479e-09,0.6574015346134424
4,2.06913808111479e-09,0.3217855418153054
2,8.858667904100832e-09,0.33426802238100345
19,1.8329807108324374e-08,0.5292336710812003
7,3.792690190732254e-08,0.31546347706014427
0,3.792690190732254e-08,0.45049328355200036
16,8.858667904100832e-09,1.7200996113978546
3,8.858667904100832e-09,0.32621766211187764
5,2.06913808111479e-09,0.3184892241044671
11,7.847599703514607e-08,0.29951276901734025
1,3.792690190732254e-08,0.3525141617407389
18,3.792690190732254e-08,0.3947494402205602
4,8.858667904100832e-09,0.3217855467088517
3,1.623776739188721e-07,0.32621766346597114
8,3.792690190732254e-08,0.31485223344759117
17,2.06913808111479e-09,0.34499799750490345
2,3.792690190732254e-08,0.33426802406568684
12,7.847599703514607e-08,0.29860738280779386
3,3.792690190732254e-08,0.32621766320893003
4,1.623776739188721e-07,0.3217855481256882
17,8.858667904100832e-09,0.37246663475656255
9,3.792690190732254e-08,0.3099493334353918
2,6.951927961775605e-07,0.3342680245572722
5,1.623776739188721e-07,0.3184892305282699
19,3.792690190732254e-08,0.45190153762164553
16,1.623776739188721e-07,5.596495543476925
18,2.06913808111479e-09,0.3495539714145316
9,3.359818286283781e-07,0.30996975148713407
0,7.847599703514607e-08,0.4504932835520012
13,7.847599703514607e-08,0.3434536254597538
3,6.951927961775605e-07,0.3262176635359938
10,3.792690190732254e-08,0.303565945802413
6,1.623776739188721e-07,0.31654483783932014
1,7.847599703514607e-08,0.35251416198767327
4,6.951927961775605e-07,0.3217855481981825
2,7.847599703514607e-08,0.3342680243312736
10,3.359818286283781e-07,0.30356781887975126
7,1.623776739188721e-07,0.3154634774364305
17,1.623776739188721e-07,8.375921524684875
15,6.951927961775605e-07,0.3208557643414994
