batch_size,degree,gamma,k_fold,n_iters,seed,mse_te,mse_tr
1,7,2.1544346900318868e-12,4,500,0,0.499635066470444,0.4997440428927823
1,7,5.994842503189421e-13,4,500,0,0.49876292013537066,0.4988119252925476
1,7,7.742636826811278e-12,4,500,0,0.539634565611302,0.5397121504928676
1,7,1e-10,4,500,0,7.395810382244725,7.352780572509608
1,7,2.7825594022071258e-11,4,500,0,1.0699785644606,1.0669228468147414
1,6,3.593813663804626e-15,4,500,0,0.49999964220035775,0.49999964904694405
1,7,1.2915496650148826e-14,4,500,0,0.4999621194475661,0.4999634187091869
1,8,1e-15,4,500,0,0.4999078916347453,0.49991313538615645
1,8,3.593813663804626e-15,4,500,0,0.49969033212588637,0.4997084723082388
1,8,2.7825594022071258e-11,4,500,0,644.8912949877919,637.1002329096513
1,8,1.2915496650148826e-14,4,500,0,0.49914509046947647,0.49920195279409535
1,8,1.6681005372000557e-13,4,500,0,0.5280193405869146,0.5280836968133467
1,8,1e-10,4,500,0,6943.705346881269,6891.88812847513
1,7,3.593813663804626e-15,4,500,0,0.49998940639685097,0.4999897691065145
1,9,1e-15,4,500,0,0.5000506569902988,0.5002029541334867
1,9,3.593813663804626e-15,4,500,0,0.5239576864857995,0.5239641235298378
1,9,1.2915496650148826e-14,4,500,0,0.8649499150786955,0.8586847656888164
1,9,2.7825594022071258e-11,4,500,0,inf,inf
1,9,1.6681005372000557e-13,4,500,0,57.249845878581475,55.8734578354809
1,9,1e-10,4,500,0,inf,inf
1,8,4.6415888336127726e-14,4,500,0,0.4996953771018614,0.49982755893379566
1,8,5.994842503189421e-13,4,500,0,0.922125088967696,0.9177896548093393
1,8,2.1544346900318868e-12,4,500,0,5.7836478342146025,5.712910487455023
1,8,7.742636826811278e-12,4,500,0,62.30481737729359,61.431900502481724
