degree,gamma,k_fold,lambda,precision,seed,avg_mse_te,avg_mse_tr
1,1.7782794100389228e-09,5,1e-10,0.001,0,0.49999999735465084,0.4999999973091027
1,1.7782794100389228e-09,5,3.593813663804626e-10,0.001,0,0.49999999735465084,0.4999999973091027
1,1.7782794100389228e-09,5,1.2915496650148826e-09,0.001,0,0.49999999735465084,0.4999999973091027
1,1.7782794100389228e-09,5,4.641588833612773e-09,0.001,0,0.49999999735465084,0.4999999973091027
1,1.7782794100389228e-09,5,1.6681005372000592e-08,0.001,0,0.49999999735465084,0.4999999973091027
1,1.7782794100389228e-09,5,5.99484250318941e-08,0.001,0,0.4999999973546508,0.49999999730910266
1,1.7782794100389228e-09,5,2.1544346900318867e-07,0.001,0,0.4999999973546505,0.49999999730910244
1,1.7782794100389228e-09,5,7.742636826811278e-07,0.001,0,0.49999999735464973,0.49999999730910144
1,1.7782794100389228e-09,5,2.782559402207126e-06,0.001,0,0.4999999973546466,0.49999999730909817
1,1.7782794100389228e-09,5,1e-05,0.001,0,0.4999999973546354,0.49999999730908645
1,3.162277660168379e-08,5,1e-10,0.001,0,0.4999999529583571,0.4999999521483829
1,3.162277660168379e-08,5,3.593813663804626e-10,0.001,0,0.4999999529583571,0.4999999521483829
1,3.162277660168379e-08,5,1.2915496650148826e-09,0.001,0,0.4999999529583571,0.49999995214838294
1,3.162277660168379e-08,5,4.641588833612773e-09,0.001,0,0.499999952958357,0.49999995214838283
1,3.162277660168379e-08,5,1.6681005372000592e-08,0.001,0,0.4999999529583566,0.4999999521483825
1,3.162277660168379e-08,5,5.99484250318941e-08,0.001,0,0.4999999529583554,0.4999999521483812
1,3.162277660168379e-08,5,2.1544346900318867e-07,0.001,0,0.49999995295835115,0.4999999521483767
1,3.162277660168379e-08,5,7.742636826811278e-07,0.001,0,0.49999995295833577,0.49999995214836057
1,3.162277660168379e-08,5,2.782559402207126e-06,0.001,0,0.4999999529582806,0.4999999521483025
1,3.162277660168379e-08,5,1e-05,0.001,0,0.4999999529580819,0.499999952148094
1,5.62341325190349e-07,5,1e-10,0.001,0,0.49999916348573126,0.49999914908189314
1,5.62341325190349e-07,5,3.593813663804626e-10,0.001,0,0.49999916348573115,0.499999149081893
1,5.62341325190349e-07,5,1.2915496650148826e-09,0.001,0,0.4999991634857307,0.49999914908189247
1,5.62341325190349e-07,5,4.641588833612773e-09,0.001,0,0.49999916348572904,0.49999914908189086
1,5.62341325190349e-07,5,1.6681005372000592e-08,0.001,0,0.49999916348572315,0.4999991490818847
1,5.62341325190349e-07,5,5.99484250318941e-08,0.001,0,0.49999916348570195,0.49999914908186244
1,5.62341325190349e-07,5,2.1544346900318867e-07,0.001,0,0.4999991634856259,0.49999914908178256
1,5.62341325190349e-07,5,7.742636826811278e-07,0.001,0,0.49999916348535256,0.4999991490814954
1,5.62341325190349e-07,5,2.782559402207126e-06,0.001,0,0.49999916348437,0.4999991490804636
1,5.62341325190349e-07,5,1e-05,0.001,0,0.49999916348083917,0.4999991490767556
1,1e-05,5,1e-10,0.001,0,0.49998512999836175,0.49998487378377926
1,1e-05,5,3.593813663804626e-10,0.001,0,0.49998512999835937,0.499984873783777
1,1e-05,5,1.2915496650148826e-09,0.001,0,0.4999851299983514,0.4999848737837685
1,1e-05,5,4.641588833612773e-09,0.001,0,0.49998512999832223,0.4999848737837379
1,1e-05,5,1.6681005372000592e-08,0.001,0,0.4999851299982175,0.4999848737836279
1,1e-05,5,5.99484250318941e-08,0.001,0,0.4999851299978414,0.49998487378323286
1,1e-05,5,2.1544346900318867e-07,0.001,0,0.49998512999648953,0.4999848737818131
1,1e-05,5,7.742636826811278e-07,0.001,0,0.4999851299916312,0.49998487377671097
1,1e-05,5,2.782559402207126e-06,0.001,0,0.49998512997417144,0.4999848737583744
1,1e-05,5,1e-05,0.001,0,0.4999851299114241,0.49998487369247624
2,1e-10,5,1e-10,0.001,0,0.4999999992238073,0.4999999992423112
2,1e-10,5,3.593813663804626e-10,0.001,0,0.4999999992238073,0.4999999992423112
2,1e-10,5,1.2915496650148826e-09,0.001,0,0.4999999992238073,0.4999999992423112
2,1e-10,5,4.641588833612773e-09,0.001,0,0.4999999992238073,0.4999999992423112
2,1e-10,5,1.6681005372000592e-08,0.001,0,0.4999999992238073,0.4999999992423112
2,1e-10,5,5.99484250318941e-08,0.001,0,0.4999999992238072,0.49999999924231114
2,1e-10,5,2.1544346900318867e-07,0.001,0,0.49999999922380717,0.499999999242311
2,1e-10,5,7.742636826811278e-07,0.001,0,0.4999999992238068,0.4999999992423106
2,1e-10,5,2.782559402207126e-06,0.001,0,0.49999999922380534,0.4999999992423092
2,1e-10,5,1e-05,0.001,0,0.49999999922380023,0.499999999242304
2,1.7782794100389228e-09,5,1e-10,0.001,0,0.4999999861971301,0.49999998652617894
2,1.7782794100389228e-09,5,3.593813663804626e-10,0.001,0,0.4999999861971301,0.49999998652617894
2,1.7782794100389228e-09,5,1.2915496650148826e-09,0.001,0,0.4999999861971301,0.49999998652617894
2,1.7782794100389228e-09,5,4.641588833612773e-09,0.001,0,0.49999998619713004,0.4999999865261789
2,1.7782794100389228e-09,5,1.6681005372000592e-08,0.001,0,0.49999998619712993,0.49999998652617883
2,1.7782794100389228e-09,5,5.99484250318941e-08,0.001,0,0.4999999861971294,0.49999998652617816
2,1.7782794100389228e-09,5,2.1544346900318867e-07,0.001,0,0.4999999861971274,0.4999999865261762
2,1.7782794100389228e-09,5,7.742636826811278e-07,0.001,0,0.4999999861971204,0.49999998652616906
2,1.7782794100389228e-09,5,2.782559402207126e-06,0.001,0,0.49999998619709485,0.4999999865261435
2,1.7782794100389228e-09,5,1e-05,0.001,0,0.49999998619700337,0.4999999865260515
2,3.162277660168379e-08,5,1e-10,0.001,0,0.49999975454791723,0.4999997603989375
2,3.162277660168379e-08,5,3.593813663804626e-10,0.001,0,0.49999975454791723,0.4999997603989375
2,3.162277660168379e-08,5,1.2915496650148826e-09,0.001,0,0.4999997545479169,0.49999976039893723
2,3.162277660168379e-08,5,4.641588833612773e-09,0.001,0,0.4999997545479162,0.49999976039893657
2,3.162277660168379e-08,5,1.6681005372000592e-08,0.001,0,0.4999997545479135,0.4999997603989338
2,3.162277660168379e-08,5,5.99484250318941e-08,0.001,0,0.4999997545479037,0.499999760398924
2,3.162277660168379e-08,5,2.1544346900318867e-07,0.001,0,0.4999997545478686,0.4999997603988887
2,3.162277660168379e-08,5,7.742636826811278e-07,0.001,0,0.49999975454774276,0.49999976039876204
2,3.162277660168379e-08,5,2.782559402207126e-06,0.001,0,0.4999997545472902,0.4999997603983066
2,3.162277660168379e-08,5,1e-05,0.001,0,0.4999997545456638,0.49999976039667027
2,5.62341325190349e-07,5,1e-10,0.001,0,0.49999563565373395,0.49999573957873045
2,5.62341325190349e-07,5,3.593813663804626e-10,0.001,0,0.4999956356537329,0.4999957395787294
2,5.62341325190349e-07,5,1.2915496650148826e-09,0.001,0,0.49999563565372906,0.4999957395787256
